"Source:","/home/andre/Documents/repositories/amchagas/open-visual-stimulator/resources_for_zebra_fish/boards/Lcr_addon/Lcr_addon.sch"
"Date:","Thu 07 Mar 2019 18:06:58 GMT"
"Tool:","Eeschema 5.0.2-bee76a0~70~ubuntu18.04.1"
"Component Count:","19"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","680uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","",""
"C2","220uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","",""
"D1","D_Schottky","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","~","",""
"J2","LCr_ conector","Connector_JST:JST_PUD_B14B-PUDSS_2x07_P2.00mm_Vertical","~","",""
"J4","blank in","extra_Connector:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal"," ~","",""
"J5","Green control output","extra_Connector:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal"," ~","",""
"J6","Blue control output","extra_Connector:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal"," ~","",""
"J7","Red control output","extra_Connector:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal"," ~","",""
"J8","blank_jumper","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","",""
"L1","33uH","Inductor_THT:L_Radial_D10.0mm_P5.00mm_Neosid_SD12_style3","~","",""
"R1","1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","",""
"U1","RED channel","Package_SO:TSOP-5_1.65x3.05mm_P0.95mm","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","",""
"U2","Green channel","Package_SO:TSOP-5_1.65x3.05mm_P0.95mm","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","",""
"U3","Blue channel","Package_SO:TSOP-5_1.65x3.05mm_P0.95mm","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","",""
"U4","LM2596T-5","Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical","http://www.ti.com/lit/ds/symlink/lm2596.pdf","",""
"U5","RED+blank","Package_SO:TSOP-5_1.65x3.05mm_P0.95mm","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","",""
"U6","Green+blank","Package_SO:TSOP-5_1.65x3.05mm_P0.95mm","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","",""
"U7","Blue+blank","Package_SO:TSOP-5_1.65x3.05mm_P0.95mm","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","",""
"U8","74AHC1G04","Package_SO:TSOP-5_1.65x3.05mm_P0.95mm","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","",""
