"Source:","/home/andre/Documents/repositories/amchagas/open-visual-stimulator/boards/mosfet_circuit_plus_voltage_regulator/led_driver.sch"
"Date:","Fri 19 Jul 2019 14:24:53 BST"
"Tool:","Eeschema 5.0.2-bee76a0~70~ubuntu18.04.1"
"Component Count:","26"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","470pF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","",""
"C2","220µF","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","",""
"C3","100nF","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","~","",""
"C4","220µF","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","",""
"C5","100nF","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P7.50mm","~","",""
"D1","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","",""
"H1","MountingHole","MountingHole:MountingHole_3.2mm_M3","~","",""
"H2","MountingHole","MountingHole:MountingHole_3.2mm_M3","~","",""
"H3","MountingHole","MountingHole:MountingHole_3.2mm_M3","~","",""
"H4","MountingHole","MountingHole:MountingHole_3.2mm_M3","~","",""
"J1","Vin","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~","",""
"J2","LED","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~","",""
"J3","control_in","Connector_Coaxial_extra:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal"," ~","",""
"L1","120µH","Inductor_THT:L_Radial_D7.5mm_P5.00mm_Fastron_07P","~","",""
"Q1","N_chan_mosfet","Package_TO_SOT_SMD:TDSON-8-1","http://www.ti.com/lit/gpn/csd17577q5a","",""
"Q2","P-Chan_mosfet","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.infineon.com/dgdl/irf7404.pdf?fileId=5546d462533600a4015355fa2b5b1b9e","",""
"R1","1.5kohm","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R2","0.22ohm","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","~","",""
"R3","8.2kohm","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R4","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R5","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R6","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R7","0.5 20W","Package_TO_SOT_THT:TO-220-2_Vertical","~","",""
"RV1","5kohm","Potentiometer_THT:Potentiometer_Vishay_T73YP_Vertical","~","",""
"RV2","pot_min5W","Potentiometer_THT:Potentiometer_ACP_CA14-H5_Horizontal","~","",""
"U1","MC34063AP","Package_DIP:DIP-8_W7.62mm","http://www.onsemi.com/pub_link/Collateral/MC34063A-D.PDF","",""
