# wavelength	raw_bkg	raw_avg
3.386034821000000079e+02 1.581879310344827516e+01 0.000000000000000000e+00
3.389925196812100694e+02 2.563548413793103100e+04 3.637978807091712952e-12
3.393815129420805761e+02 1.188895293103448012e+03 -9.039310344827322652e+00
3.397704618784717923e+02 1.137145241379310391e+03 -7.819003448275911872e+00
3.401593664862442665e+02 1.129913793103448370e+03 -3.480134482758712622e+00
3.405482267612583769e+02 1.295559155172413739e+03 -2.937775862068915611e+00
3.409370426993745014e+02 1.248780724137931202e+03 6.643893103448103687e+00
3.413258142964530180e+02 1.244939017241379133e+03 2.305024137931200201e+00
3.417145415483543047e+02 1.251040551724137913e+03 -1.717468965517227941e+00
3.421032244509388534e+02 1.240871327586206917e+03 8.496951724137916884e+00
3.424918630000669850e+02 1.253300379310344852e+03 -4.655244827586233924e+00
3.428804571915991914e+02 1.248554741379310371e+03 -1.233865862068967623e+01
3.432690070213957370e+02 1.257594051724137898e+03 -8.090182758620663606e+00
3.436575124853172269e+02 1.273864810344827220e+03 -1.866617586206861290e+01
3.440459735792238689e+02 1.262113706896551776e+03 -4.429262068965572396e+00
3.444343902989761546e+02 1.392279775862068846e+03 4.655244827586334289e+00
3.448227626404344619e+02 1.469339896551723996e+03 -1.636115172413779106e+01
3.452110905994591690e+02 1.327196741379310424e+03 4.564851724137838573e+00
3.455993741719107675e+02 1.297367017241379244e+03 -5.016817241379262882e+00
3.459876133536495786e+02 1.234543810344827307e+03 -3.434937931034219183e+00
3.463758081405359803e+02 1.317705465517241464e+03 -8.135379310345615123e-01
3.467639585284304644e+02 1.284486000000000104e+03 5.423586206896447770e+00
3.471520645131934657e+02 1.263695586206896678e+03 -5.513979310344953255e+00
3.475401260906851917e+02 1.268441224137930931e+03 1.351376896551734319e+01
3.479281432567662478e+02 1.305502396551724132e+03 -1.586398965517240001e+01
3.483161160072968983e+02 1.346857241379310381e+03 3.145679999999994791e+01
3.487040443381376349e+02 1.476571344827586472e+03 -4.293672413793364839e+00
3.490919282451487220e+02 1.373523206896551983e+03 7.412234482758349507e+00
3.494797677241907650e+02 1.319739310344827800e+03 -1.437250344827607407e+01
3.498675627711240281e+02 1.344597413793103442e+03 -8.270968965517235816e+00
3.502553133818089464e+02 1.399511224137931094e+03 9.988437931034418682e+00
3.506430195521060114e+02 1.727864172413793085e+03 -6.327517241379154722e-01
3.510306812778754875e+02 1.387760120689654968e+03 1.410132413793125039e+01
3.514182985549778095e+02 1.401545068965517430e+03 1.071158275862050147e+01
3.518058713792733556e+02 1.418041810344827582e+03 -1.075677931034482349e+01
