# wavelength	raw_bkg	raw_avg
3.386034821000000079e+02 1.581879310344827516e+01 0.000000000000000000e+00
3.389925196812100694e+02 2.563548413793103100e+04 3.637978807091712952e-12
3.393815129420805761e+02 9.251734137931034638e+02 -3.615724137931033422e+00
3.397704618784717923e+02 8.743272931034482554e+02 -1.039520689655170216e+01
3.401593664862442665e+02 8.553447413793103351e+02 -7.005465517241373341e+00
3.405482267612583769e+02 1.068672465517241562e+03 1.807862068965500768e+01
3.409370426993745014e+02 1.040876586206896718e+03 -2.485810344827746210e+00
3.413258142964530180e+02 1.011272844827586368e+03 1.401093103448257615e+01
3.417145415483543047e+02 1.007431137931034527e+03 3.457536206896546815e+01
3.421032244509388534e+02 1.028673517241379159e+03 1.694870689655185814e+01
3.424918630000669850e+02 1.022120017241379401e+03 -8.587344827586264273e+00
3.428804571915991914e+02 1.022120017241379173e+03 7.683413793103579970e+00
3.432690070213957370e+02 1.039520689655172418e+03 -1.062118965517241875e+01
3.436575124853172269e+02 1.020538137931034498e+03 3.186356896551724205e+01
3.440459735792238689e+02 1.011498827586206744e+03 1.536682758620701250e+01
3.444343902989761546e+02 1.211493568965517170e+03 2.146836206896562160e+01
3.448227626404344619e+02 1.308666155172413710e+03 1.129913793103460229e+01
3.452110905994591690e+02 1.119744568965517146e+03 1.830460344827597652e+01
3.455993741719107675e+02 1.076355879310345017e+03 2.101639655172398236e+01
3.459876133536495786e+02 9.733077413793104142e+02 1.762665517241369884e+01
3.463758081405359803e+02 1.106863551724138233e+03 -4.971620689655447123e+00
3.467639585284304644e+02 1.055113500000000158e+03 -2.711793103448405962e+00
3.471520645131934657e+02 1.014662586206896549e+03 3.073365517241378342e+01
3.475401260906851917e+02 1.031837275862068964e+03 1.694870689655174445e+01
3.479281432567662478e+02 1.050593844827586054e+03 -4.745637931034321078e+00
3.483161160072968983e+02 1.154771896551724012e+03 -4.745637931034366375e+00
3.487040443381376349e+02 1.297818982758620677e+03 7.683413793103454736e+00
3.490919282451487220e+02 1.174884362068965629e+03 -1.649674137931047113e+01
3.494797677241907650e+02 1.082005448275861909e+03 1.966050000000016240e+01
3.498675627711240281e+02 1.144828655172413846e+03 -2.237229310344830679e+01
3.502553133818089464e+02 1.216239206896551650e+03 4.971620689655219749e+00
3.506430195521060114e+02 1.632499448275862278e+03 -1.039520689655191710e+01
3.510306812778754875e+02 1.197708620689655390e+03 -3.389741379310544200e+00
3.514182985549778095e+02 1.200646396551724138e+03 4.067689655172398666e+00
3.518058713792733556e+02 1.210815620689655134e+03 6.553500000000008541e+00
