# wavelength	raw_bkg	raw_avg
3.386034821000000079e+02 1.581879310344827516e+01 0.000000000000000000e+00
3.389925196812100694e+02 2.563548413793103100e+04 3.637978807091712952e-12
3.393815129420805761e+02 9.272072586206897995e+02 -1.129913793103594299e+00
3.397704618784717923e+02 8.600903793103447015e+02 2.598801724137945257e+01
3.401593664862442665e+02 8.664178965517241977e+02 -1.943451724137936409e+01
3.405482267612583769e+02 1.087880999999999858e+03 -1.807862068965391700e+00
3.409370426993745014e+02 1.048334017241379343e+03 -1.039520689655174657e+01
3.413258142964530180e+02 1.032289241379310397e+03 7.457431034482681298e+00
3.417145415483543047e+02 1.017374379310344921e+03 1.898255172413782788e+01
3.421032244509388534e+02 1.038842741379310382e+03 -1.401093103448280353e+01
3.424918630000669850e+02 1.036130948275862011e+03 2.033844827586267279e+00
3.428804571915991914e+02 1.040650603448275888e+03 -3.389741379310345337e+01
3.432690070213957370e+02 1.029803431034482628e+03 -2.124237931034470961e+01
3.436575124853172269e+02 1.044266327586206899e+03 4.519655172413877264e-01
3.440459735792238689e+02 1.032063258620689794e+03 1.807862068965380375e+00
3.444343902989761546e+02 1.227086379310344910e+03 -4.293672413793228948e+00
3.448227626404344619e+02 1.316123586206896562e+03 -7.909396551724126034e+00
3.452110905994591690e+02 1.125394137931034720e+03 3.841706896551477346e+00
3.455993741719107675e+02 1.073644086206896645e+03 5.649568965517152819e+00
3.459876133536495786e+02 9.812171379310344719e+02 -8.135379310344797332e+00
3.463758081405359803e+02 1.099406120689655154e+03 -6.779482758620588578e-01
3.467639585284304644e+02 1.050141879310344848e+03 1.807862068965517821e+01
3.471520645131934657e+02 1.020764120689655101e+03 -2.033844827586142490e+00
3.475401260906851917e+02 1.038616758620689552e+03 9.717258620689790405e+00
3.479281432567662478e+02 1.043588379310344635e+03 1.265503448275881127e+01
3.483161160072968983e+02 1.187765379310344997e+03 -3.231553448275881379e+01
3.487040443381376349e+02 1.285389931034482743e+03 3.208955172413798351e+01
3.490919282451487220e+02 1.196578706896551694e+03 -4.971620689655128267e+00
3.494797677241907650e+02 1.105055689655172500e+03 -1.966050000000004871e+01
3.498675627711240281e+02 1.119744568965517146e+03 5.875551724138039944e+00
3.502553133818089464e+02 1.216239206896551650e+03 -2.734391379310336490e+01
3.506430195521060114e+02 1.644476534482758780e+03 1.717468965517227986e+01
3.510306812778754875e+02 1.177596155172413773e+03 2.192032758620691624e+01
3.514182985549778095e+02 1.202228275862069040e+03 -1.016922413793113300e+01
3.518058713792733556e+02 1.226634413793103704e+03 -8.135379310345092208e+00
