name,Part id,manufacturer,order id,retailer,quantity,obs1,obs2,obs3,URL
lightcradter,-,Texas instruments,-,EKB,1,electronics/optics,light guide version,4500 model,http://www.ekb.co.il/lightcrafter-fiber.html
QDSpy,-,EulerLab,-,-,1,Software,,,http://qdspy.eulerlab.de/
30 to 60 mm Cage Plate Adapter,LCP02/M,Thorlabs,LCP02/M,Thorlabs,2,Optics,,,https://www.thorlabs.com/thorproduct.cfm?partnumber=LCP02/M
Rod,SR8,Thorlabs,SR8,Thorlabs,4,Optics,4mm diameter 203mm long,,https://www.thorlabs.com/thorproduct.cfm?partnumber=SR8
Main collimator,LLG5A4-A,Thorlabs,LLG5A4-A,Thorlabs,1,Optics,350-700nm coating,Zeiss adaptor,https://www.thorlabs.com/thorproduct.cfm?partnumber=LLG5A4-A
light guide,LLG0538-4,Thorlabs,LLG0538-4,Thorlabs,1,Optics,5mm core diameter,1.2m,https://www.thorlabs.com/thorproduct.cfm?partnumber=LLG0538-4
Lens/filter holder,CP02/M,Thorlabs,CP02/M,Thorlabs,8,Optics,30mm threaded,,https://www.thorlabs.com/thorproduct.cfm?partnumber=CP02/M
Main coll holder,LCP09,Thorlabs,LCP09,Thorlabs,1,Optics,60mm cage system,,https://www.thorlabs.com/thorproduct.cfm?partnumber=LCP09
dichroic holder,LCP30,Thorlabs,LCP30,Thorlabs,3,Optics,30-60mm, right angle adapter,https://www.thorlabs.com/thorproduct.cfm?partnumber=LCP30
Beamsplitter #1,T450lpxr,,T450 LPXR,AHF,1,Optics,F48-450,25.5X36X1mm,-
Beamsplitter #2,T400lp,,T400LP,AHF,1,Optics,F79-100,25.5X36X1mm,-
Beamsplitter #3,H560 LPXR,,H560 LPXR,AHF,1,Optics,F48-559,25.5X36X1mm,-
LED filter,,,ET480/40X,AHF,1,Optics,bandpass F49-480,25mm mounted,-
LED filter,,,ET420/40M,AHF,1,Optics,bandpass F47-420,25mm mounted,-
LED filter,,,360/36 brightline,AHF,1,Optics,bandpass F39-370,25mm mounted,-
UV led,NCSU276AT-0365,Nichia,890-3954,RS,1,Optics,365nm,smd,https://uk.rs-online.com/web/p/uv-leds/8903954/?sra=pstk
Green led,C503B-BAN-CZ0A0451,Cree,123-8663,RS,1,Optics,470nm,5mm through-hole,https://uk.rs-online.com/web/p/visible-leds/1238663/
Blue led,VAOL-5EUV0T4 ,Vaol,137-1420,RS,1,Optics,405nm,5mm through-hole,https://uk.rs-online.com/web/p/uv-leds/1371420/
red led,HLMP-EL1T-Z20DD,Broadcom,146-6157,RS,1,Optics,590nm,5mm through-hole,https://uk.rs-online.com/web/p/visible-leds/1466157/
14pin female connector,PHDR-14VS,JST,917-4692,RS,1,electronics,,,https://uk.rs-online.com/web/p/pcb-connector-housings/9174692/
